200CDL600B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
RC1,1,500,5,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,2,500,9,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,3,500,12,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,4,500,15,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,5,500,18,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,6,560,5,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,7,560,9,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,8,560,12,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,9,560,15,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,10,560,18,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,11,620,5,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,12,620,9,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,13,620,12,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,14,620,15,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,15,620,18,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,16,680,5,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,17,680,9,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,18,680,12,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,19,680,15,69.1,806,29,86,CycloBlower HE 200CDL600RC1 Low
,20,680,18,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,21,740,5,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,22,740,9,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,23,740,12,55.8,813,29,69,CycloBlower HE 200CDL600RC1 Low
,24,740,15,72.5,846,30,86,CycloBlower HE 200CDL600RC1 Low
,25,740,18,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,26,800,5,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,27,800,9,42.7,816,29,53,CycloBlower HE 200CDL600RC1 Low
,28,800,12,58.6,853,30,69,CycloBlower HE 200CDL600RC1 Low
,29,800,15,75.9,886,32,86,CycloBlower HE 200CDL600RC1 Low
,30,800,18,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,31,860,5,25.4,800,29,31,CycloBlower HE 200CDL600RC1 Low
,32,860,9,45,856,31,53,CycloBlower HE 200CDL600RC1 Low
,33,860,12,61.5,893,32,69,CycloBlower HE 200CDL600RC1 Low
,34,860,15,79.3,926,33,86,CycloBlower HE 200CDL600RC1 Low
,35,860,18,,,,,CycloBlower HE 200CDL600RC1 Low - model not available
,36,920,5,26.8,841,30,31,CycloBlower HE 200CDL600RC1 Low
,37,920,9,47.2,896,32,53,CycloBlower HE 200CDL600RC1 Low
,38,920,12,64.3,933,33,69,CycloBlower HE 200CDL600RC1 Low
,39,920,15,82.8,966,34,86,CycloBlower HE 200CDL600RC1 Low
