6MR/6MVR - Medium Pressure Performance Data,,,,,,,
Airflow Range: 380-750 SCFM,,,Interval: 25 SCFM,,,RPM Range: 1760-2100,
,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,
Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,Notes
1,380,8,20.9,1352,58,61,Sutorbilt Legend - 6M
2,380,9,23.6,1371,58,68,Sutorbilt Legend - 6M
3,380,10,26.5,1389,59,75,Sutorbilt Legend - 6M
4,380,12,32.3,1424,61,89,Sutorbilt Legend - 6M
5,380,13,353,1440,61,96,Sutorbilt Legend - 6M
6,380,14,,,,,Sutorbilt Legend - 6M   model not available
7,405,8,21.9,1418,60,61,Sutorbilt Legend - 6M
8,405,9,24.8,1438,61,68,Sutorbilt Legend - 6M
9,405,10,27.8,1456,62,75,Sutorbilt Legend - 6M
10,405,12,33.8,1490,63,89,Sutorbilt Legend - 6M
11,405,13,36.9,1506,64,96,Sutorbilt Legend - 6M
12,405,14,,,,,Sutorbilt Legend - 6M   model not available
13,430,8,22.9,1485,63,61,Sutorbilt Legend - 6M
14,430,9,25.9,1504,64,68,Sutorbilt Legend - 6M
15,430,10,29,1523,65,75,Sutorbilt Legend - 6M
16,430,12,35.3,1557,66,89,Sutorbilt Legend - 6M
17,430,13,38.6,1573,67,96,Sutorbilt Legend - 6M
18,430,14,,,,,Sutorbilt Legend - 6M   model not available
19,455,8,23.9,1552,66,61,Sutorbilt Legend - 6M
20,455,9,27.1,1571,67,68,Sutorbilt Legend - 6M
21,455,10,30.3,1589,68,75,Sutorbilt Legend - 6M
22,455,12,36.8,1624,69,89,Sutorbilt Legend - 6M
23,455,13,40.2,1640,70,96,Sutorbilt Legend - 6M
24,455,14,,,,,Sutorbilt Legend - 6M   model not available
25,480,8,25,1618,69,61,Sutorbilt Legend - 6M
26,480,9,28.2,1638,70,68,Sutorbilt Legend - 6M
27,480,10,31.6,1656,70,75,Sutorbilt Legend - 6M
28,480,12,38.4,1690,72,89,Sutorbilt Legend - 6M
29,480,13,41.8,1706,73,96,Sutorbilt Legend - 6M
30,480,14,,,,,Sutorbilt Legend - 6M   model not available
31,505,8,26,1685,72,61,Sutorbilt Legend - 6M
32,505,9,29.4,1704,73,68,Sutorbilt Legend - 6M
33,505,10,32.8,1723,73,75,Sutorbilt Legend - 6M
34,505,12,39.9,1757,75,89,Sutorbilt Legend - 6M
35,505,13,43.5,1773,75,96,Sutorbilt Legend - 6M
36,505,14,,,,,Sutorbilt Legend - 6M   model not available
37,530,8,27,1752,75,61,Sutorbilt Legend - 6M
38,530,9,30.5,1771,75,68,Sutorbilt Legend - 6M
39,530,10,34.1,1789,76,75,Sutorbilt Legend - 6M
40,530,12,41.4,1824,78,89,Sutorbilt Legend - 6M
41,530,13,45.1,1840,78,96,Sutorbilt Legend - 6M
42,530,14,,,,,Sutorbilt Legend - 6M   model not available
43,555,8,28.1,1818,77,61,Sutorbilt Legend - 6M
44,555,9,31.7,1838,78,68,Sutorbilt Legend - 6M
45,555,10,35.4,1856,79,75,Sutorbilt Legend - 6M
46,555,12,42.9,1890,80,89,Sutorbilt Legend - 6M
47,555,13,46.7,1906,81,96,Sutorbilt Legend - 6M
48,555,14,,,,,Sutorbilt Legend - 6M   model not available
49,580,8,29.1,1885,80,61,Sutorbilt Legend - 6M
50,580,9,32.8,1904,81,68,Sutorbilt Legend - 6M
51,580,10,36.6,1923,82,75,Sutorbilt Legend - 6M
52,580,12,44.4,1957,83,89,Sutorbilt Legend - 6M
53,580,13,48.4,1973,84,96,Sutorbilt Legend - 6M
54,580,14,,,,,Sutorbilt Legend - 6M   model not available
55,605,8,30.1,1951,83,61,Sutorbilt Legend - 6M
56,605,9,34,1971,84,68,Sutorbilt Legend - 6M
57,605,10,37.9,1989,85,75,Sutorbilt Legend - 6M
58,605,12,45.9,2023,86,89,Sutorbilt Legend - 6M
59,605,13,50,2040,87,96,Sutorbilt Legend - 6M
60,605,14,,,,,Sutorbilt Legend - 6M   model not available
61,630,8,31.1,2018,86,61,Sutorbilt Legend - 6M
62,630,9,35.1,2037,87,68,Sutorbilt Legend - 6M
63,630,10,39.2,2056,87,75,Sutorbilt Legend - 6M
64,630,12,47.4,2090,89,89,Sutorbilt Legend - 6M
65,630,13,51.6,2106,90,96,Sutorbilt Legend - 6M
66,630,14,,,,,Sutorbilt Legend - 6M   model not available
67,655,8,32.2,2085,89,61,Sutorbilt Legend - 6M
68,655,9,36.3,2104,90,68,Sutorbilt Legend - 6M
69,655,10,40.5,2122,90,75,Sutorbilt Legend - 6M
70,655,12,48.9,2157,92,89,Sutorbilt Legend - 6M
71,655,13,53.3,2173,92,96,Sutorbilt Legend - 6M
72,655,14,,,,,Sutorbilt Legend - 6M   model not available
73,680,8,33.2,2151,92,61,Sutorbilt Legend - 6M
74,680,9,37.4,2171,92,68,Sutorbilt Legend - 6M
75,680,10,41.7,2189,93,75,Sutorbilt Legend - 6M
76,680,12,50.5,2223,95,89,Sutorbilt Legend - 6M
77,680,13,54.9,2240,95,96,Sutorbilt Legend - 6M
78,680,14,,,,,Sutorbilt Legend - 6M   model not available
79,705,8,34.2,2218,94,61,Sutorbilt Legend - 6M
80,705,9,38.6,2237,95,68,Sutorbilt Legend - 6M
81,705,10,43,2256,96,75,Sutorbilt Legend - 6M
82,705,12,52,2290,97,89,Sutorbilt Legend - 6M
83,705,13,56.5,2306,98,96,Sutorbilt Legend - 6M
84,705,14,,,,,Sutorbilt Legend - 6M   model not available
85,730,8,35.3,2285,97,61,Sutorbilt Legend - 6M
86,730,9,39.7,2304,98,68,Sutorbilt Legend - 6M
87,730,10,44.3,2322,99,75,Sutorbilt Legend - 6M
88,730,12,,,,,Sutorbilt Legend - 6M   model not available
89,730,13,,,,,Sutorbilt Legend - 6M   model not available
90,730,14,,,,,Sutorbilt Legend - 6M   model not available
