5LR/5LVR - Low Pressure Performance Data,,,,,,,
Airflow Range: 400-950 SCFM,,,Interval: 40 SCFM,,,RPM Range: 1500-2850,
,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,
Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,Notes
1,400,2,5.7,1366,48,36,Sutorbilt Legend - 5L
2,400,3,8.1,1403,49,50,Sutorbilt Legend - 5L
3,400,4,10.7,1435,50,64,Sutorbilt Legend - 5L
4,400,5,13.3,1463,51,79,Sutorbilt Legend - 5L
5,400,6,16.1,1489,52,93,Sutorbilt Legend - 5L
6,400,7,,,,,Sutorbilt Legend - 5L model not available
7,440,2,6.2,1483,52,36,Sutorbilt Legend - 5L
8,440,3,8.8,1520,53,50,Sutorbilt Legend - 5L
9,440,4,11.6,1551,54,64,Sutorbilt Legend - 5L
10,440,5,14.4,1580,55,79,Sutorbilt Legend - 5L
11,440,6,17.3,1605,56,93,Sutorbilt Legend - 5L
12,440,7,,,,,Sutorbilt Legend - 5L model not available
13,480,2,6.6,1600,56,36,Sutorbilt Legend - 5L
14,480,3,9.5,1636,57,50,Sutorbilt Legend - 5L
15,480,4,12.5,1668,59,64,Sutorbilt Legend - 5L
16,480,5,15.5,1696,60,79,Sutorbilt Legend - 5L
17,480,6,18.6,1722,60,93,Sutorbilt Legend - 5L
18,480,7,,,,,Sutorbilt Legend - 5L model not available
19,520,2,7.1,1717,60,36,Sutorbilt Legend - 5L
20,520,3,10.2,1753,62,50,Sutorbilt Legend - 5L
21,520,4,13.3,1785,63,64,Sutorbilt Legend - 5L
22,520,5,16.5,1813,64,79,Sutorbilt Legend - 5L
23,520,6,19.8,1839,65,93,Sutorbilt Legend - 5L
24,520,7,,,,,Sutorbilt Legend - 5L model not available
25,560,2,7.6,1833,64,36,Sutorbilt Legend - 5L
26,560,3,10.9,1870,66,50,Sutorbilt Legend - 5L
27,560,4,14.2,1901,67,64,Sutorbilt Legend - 5L
28,560,5,17.6,1930,68,79,Sutorbilt Legend - 5L
29,560,6,21.1,1955,69,93,Sutorbilt Legend - 5L
30,560,7,,,,,Sutorbilt Legend - 5L model not available
31,600,2,8.1,1950,68,36,Sutorbilt Legend - 5L
32,600,3,11.5,1986,70,50,Sutorbilt Legend - 5L
33,600,4,15.1,2018,71,64,Sutorbilt Legend - 5L
34,600,5,18.7,2046,72,79,Sutorbilt Legend - 5L
35,600,6,22.3,2072,73,93,Sutorbilt Legend - 5L
36,600,7,,,,,Sutorbilt Legend - 5L model not available
37,640,2,8.6,2067,73,36,Sutorbilt Legend - 5L
38,640,3,12.2,2103,74,50,Sutorbilt Legend - 5L
39,640,4,15.9,2135,75,64,Sutorbilt Legend - 5L
40,640,5,19.7,2163,76,79,Sutorbilt Legend - 5L
41,640,6,23.6,2189,77,93,Sutorbilt Legend - 5L
42,640,7,,,,,Sutorbilt Legend - 5L model not available
43,680,2,9.1,2183,77,36,Sutorbilt Legend - 5L
44,680,3,12.9,2220,78,50,Sutorbilt Legend - 5L
45,680,4,16.8,2251,79,64,Sutorbilt Legend - 5L
46,680,5,20.8,2280,80,79,Sutorbilt Legend - 5L
47,680,6,24.9,2306,81,93,Sutorbilt Legend - 5L
48,680,7,,,,,Sutorbilt Legend - 5L model not available
49,720,2,9.5,2300,81,36,Sutorbilt Legend - 5L
50,720,3,13.6,2337,82,50,Sutorbilt Legend - 5L
51,720,4,17.7,2368,83,64,Sutorbilt Legend - 5L
52,720,5,21.9,2396,84,79,Sutorbilt Legend - 5L
53,720,6,26.1,2422,85,93,Sutorbilt Legend - 5L
54,720,7,,,,,Sutorbilt Legend - 5L model not available
55,760,2,10,2417,85,36,Sutorbilt Legend - 5L
56,760,3,14.2,2453,86,50,Sutorbilt Legend - 5L
57,760,4,18.6,2485,87,64,Sutorbilt Legend - 5L
58,760,5,22.9,2513,88,79,Sutorbilt Legend - 5L
59,760,6,27.4,2539,89,93,Sutorbilt Legend - 5L
60,760,7,,,,,Sutorbilt Legend - 5L model not available
61,800,2,10.5,2533,89,36,Sutorbilt Legend - 5L
62,800,3,14.9,2570,90,50,Sutorbilt Legend - 5L
63,800,4,19.4,2602,91,64,Sutorbilt Legend - 5L
64,800,5,24,2630,92,79,Sutorbilt Legend - 5L
65,800,6,28.6,2656,93,93,Sutorbilt Legend - 5L
66,800,7,,,,,Sutorbilt Legend - 5L model not available
67,840,2,11,2650,93,36,Sutorbilt Legend - 5L
68,840,3,15.6,2687,94,50,Sutorbilt Legend - 5L
69,840,4,20.3,2718,95,64,Sutorbilt Legend - 5L
70,840,5,25.1,2747,96,79,Sutorbilt Legend - 5L
71,840,6,29.9,2772,97,93,Sutorbilt Legend - 5L
72,840,7,,,,,Sutorbilt Legend - 5L model not available
73,880,2,11.5,2767,97,36,Sutorbilt Legend - 5L
74,880,3,16.3,2803,98,50,Sutorbilt Legend - 5L
75,880,4,21.2,2835,99,64,Sutorbilt Legend - 5L
76,880,5,,,,,Sutorbilt Legend - 5L model not available
77,880,6,,,,,Sutorbilt Legend - 5L model not available
78,880,7,,,,,Sutorbilt Legend - 5L model not available
79,920,2,,,,,Sutorbilt Legend - 5L model not available
80,920,3,,,,,Sutorbilt Legend - 5L model not available
81,920,4,,,,,Sutorbilt Legend - 5L model not available
82,920,5,,,,,Sutorbilt Legend - 5L model not available
83,920,6,,,,,Sutorbilt Legend - 5L model not available
84,920,7,,,,,Sutorbilt Legend - 5L model not available
