BLOWER,MOTOR,INLET,DISCHARGE,DRAWING,PACKAGE,SHIPPING,ENCLOSURE,SHIPPING
MODEL,HP,SIZE,SIZE,#,PRICE  $,WEIGHT  #,PRICE  $,WEIGHT  #
,50,"6""","5""",10AF65,"21,020",2681,"6,577",596
,50,"6""","6""",10AF66,"21,324",2747,"6,906",622
,30,"6""","5""",10AF65,"21,303",2870,"6,577",596
,30,"6""","6""",10AF66,"21,607",2936,"6,906",622
,40,"8""","6""",10AF86,"23,488",3234,"7,987",707
7LP,40,"8""","8""",11AF88,"24,963",3394,"8,508",748
,50,"8""","8""",11AF88,"25,323",3464,"8,508",748
,50,"10""","8""",13AF108,"27,561",3716,"11,994",1022
,60,"10""","8""",13AF108,"29,237",3797,"11,994",1022
,40,"5""","4""",10AT54,"21,067",2805,"5,035",482
,40,"5""","5""",10AT55,"21,864",2878,"5,798",543
8HP,50,"5""","4""",10AT54,"21,427",2875,"5,035",482
,50,"5""","5""",10AT55,"22,224",2948,"5,798",543
,60,"5""","4""",10AT54,"23,103",2956,"5,035",482
,60,"5""","5""",10AT55,"23,900",3029,"5,798",543
,40,"6""","5""",13AF65,"24,628",3240,"7,008",640
,40,"6""","6""",13AF66,"24,932",3306,"7,358",668
,50,"6""","5""",13AF65,"24,988",3310,"7,008",640
8MP,50,"6""","6""",13AF66,"25,291",3376,"7,358",668
,60,"6""","6""",13AF66,"26,968",3457,"7,358",668
,60,"8""","6""",13AF86,"28,235",3596,"8,475",757
,75,"8""","6""",13AF86,"28,853",3770,"8,475",757
,75,"8""","8""",13AF88,"30,327",3930,"9,028",801
,50,"10""","8""",13AF108,"32,727",4191,"11,790",1022
,50,"10""","10""",13AF1010,"34,561",4490,"12,410",1071
8LP,60,"10""","8""",13AF108,"34,403",4272,"11,790",1022
,60,"10""","10""",13AF1010,"36,238",4571,"12,410",1071
,75,"10""","8""",13AF108,"35,021",2440,"11,790",1022
,75,,"10""",13AF1010,"36,855",2440,"12,410",1071
,10,"2""","2""",2AT22,"11,072",773,"2,881",261
406 HF,10,"2-½""","2""",2AT252,"11,496",795,"2,881",261
,10,"2-1/2""","2-½""",4AT2525,"11,496",811,"3,557",303
,15,"3""","2-½""",4AT325,"11,949",937,"3,557",303
,15,"3""","3""",4AT33,"12,084",954,"3,557",303
,20,"4""","3""",4AT43,"12,724",1012,"3,557",303
,20,"4""","4""",4AT44,"13,157",1069,"3,557",303
,25,"4""","3""",4AT43,"13,219",1066,"3,557",303
,25,"4""","4""",4AT44,"13,652",1123,"3,557",303
,20,"3""","3""",4AT33,"12,673",1009,"3,557",303
,20,"4""","3""",4AT43,"13,022",1042,"3,557",303
408 HF,25,"3""","3""",4AT33,"13,168",1063,"3,557",303
,25,"4""","3""",4AT43,"13,517",1096,"3,557",303
,25,"4""","4""",4AT44,"13,949",1153,"3,557",303
,30,"4""","3""",4AT43,"13,692",1156,"3,557",303
,30,"4""","4""",4AT44,"14,125",1213,"3,557",303
,40,"5""","4""",10AF65,"23,033",2070,"6,597",596
412 HF,40,"5""","5""",10AF66,"23,033",2070,"6,927",622
,50,"5""","4""",10AF65,"23,393",2140,"6,597",596
,50,"5""","5""",10AF66,"24,190",2213,"6,927",622
,60,"6""","6""",10AF66,"30,191",2813,"6,868",622
514 HF,60,"8""","6""",10AF86,"31,458",2952,"7,943",707
,75,"8""","6""",10AF86,"32,076",3126,"7,943",707
,75,"8""","8""",10AF88,"33,551",3286,"8,910",783
,75,"8""","6""",13AF86,"45,603",3708,"8,158",757
,75,"8""","8""",13AF88,"47,077",3868,"9,117",836
616 HF,100,"8""","6""",13AF86,"47,178",4138,"8,158",757
,100,"8""","8""",13AF88,"48,653",4298,"9,117",836
,125,"8""","8""",13AF88,"51,834",4528,"9,117",836
,150,"8""","8""",13AF88,"52,329",4677,"9,117",836
,75,"8""","6""",13AF86,"50,418",4183,"8,158",757
,75,"8""","8""",13AF88,"51,893",4343,"9,117",836
624 HF,100,"8""","8""",13AF88,"53,468",4773,"9,117",836
,100,"10""","8""",13AF108,"55,706",5025,"11,349",1022
,125,"10""","8""",13AF108,"58,887",5255,"11,349",1022
,150,"10""","10""",13AF1010,"61,217",5703,"11,947",1071
,150,"10""","8""",,"70,601",6512,"12,603",1127
817 HF,150,"10""","10""",,"72,436",6811,"13,038",1163
,200,"10""","10""",,"75,294",7271,"13,038",1163
,200,"12""","10""",,"77,213",7513,"14,280",1267
,150,"10""","10""",,"68,086",5207,"11,349",1022
,150,"12""","10""",,"68,287",5229,"11,349",1022
,150,"10""","10""",,"70,944",5366,"11,947",1071
825 HF,200,"12""","10""",,"71,145",5388,"12,603",1127
,200,"12""","12""",,"71,368",5404,"13,038",1163
,250,"12""","10""",,"73,584",5458,"13,038",1163
,200,"12""","12""",,"73,807",5474,"14,280",1267
