125CDL375B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
RC1,1,300,5,10,1225,27,31,CycloBlower H.E. - 125CDL375 RC1 Low
,2,300,8,15.5,1313,29,47,CycloBlower H.E. - 125CDL375 RC1 Low
,3,300,10,19.7,1371,30,58,CycloBlower H.E. - 125CDL375 RC1 Low
,4,300,12,24.2,1427,32,69,CycloBlower H.E. - 125CDL375 RC1 Low
,5,300,15,31.7,1509,34,86,CycloBlower H.E. - 125CDL375 RC1 Low
,6,350,5,11.3,1380,31,31,CycloBlower H.E. - 125CDL375 RC1 Low
,7,350,8,17.4,1467,33,47,CycloBlower H.E. - 125CDL375 RC1 Low
,8,350,10,21.9,1523,34,58,CycloBlower H.E. - 125CDL375 RC1 Low
,9,350,12,26.7,1578,35,69,CycloBlower H.E. - 125CDL375 RC1 Low
,10,350,15,34.7,1657,37,86,CycloBlower H.E. - 125CDL375 RC1 Low
,11,400,5,12.7,1534,34,31,CycloBlower H.E. - 125CDL375 RC1 Low
,12,400,8,19.2,1618,36,47,CycloBlower H.E. - 125CDL375 RC1 Low
,13,400,10,24.1,1673,37,58,CycloBlower H.E. - 125CDL375 RC1 Low
,14,400,12,29.3,1727,38,69,CycloBlower H.E. - 125CDL375 RC1 Low
,15,400,15,37.7,1804,40,86,CycloBlower H.E. - 125CDL375 RC1 Low
,16,450,5,14.1,1686,37,31,CycloBlower H.E. - 125CDL375 RC1 Low
,17,450,8,21.1,1769,39,47,CycloBlower H.E. - 125CDL375 RC1 Low
,18,450,10,26.3,1822,40,58,CycloBlower H.E. - 125CDL375 RC1 Low
,19,450,12,31.8,1874,42,69,CycloBlower H.E. - 125CDL375 RC1 Low
,20,450,15,40.7,1950,43,86,CycloBlower H.E. - 125CDL375 RC1 Low
,21,500,5,15.5,1837,41,31,CycloBlower H.E. - 125CDL375 RC1 Low
,22,500,8,23.1,1918,43,47,CycloBlower H.E. - 125CDL375 RC1 Low
,23,500,10,28.5,1970,44,58,CycloBlower H.E. - 125CDL375 RC1 Low
,24,500,12,34.4,2021,45,69,CycloBlower H.E. - 125CDL375 RC1 Low
,25,500,15,43.7,2094,47,86,CycloBlower H.E. - 125CDL375 RC1 Low
,26,550,5,17,1986,44,31,CycloBlower H.E. - 125CDL375 RC1 Low
,27,550,8,25,2065,46,47,CycloBlower H.E. - 125CDL375 RC1 Low
,28,550,10,30.8,2116,47,58,CycloBlower H.E. - 125CDL375 RC1 Low
,29,550,12,36.9,2165,48,69,CycloBlower H.E. - 125CDL375 RC1 Low
,30,550,15,46.7,2237,50,86,CycloBlower H.E. - 125CDL375 RC1 Low
,31,600,5,18.4,2134,47,31,CycloBlower H.E. - 125CDL375 RC1 Low
,32,600,8,27,2211,49,47,CycloBlower H.E. - 125CDL375 RC1 Low
,33,600,10,33.1,2261,50,58,CycloBlower H.E. - 125CDL375 RC1 Low
,34,600,12,39.5,2309,51,69,CycloBlower H.E. - 125CDL375 RC1 Low
,35,600,15,49.8,2378,53,86,CycloBlower H.E. - 125CDL375 RC1 Low
,36,650,5,19.9,2281,51,31,CycloBlower H.E. - 125CDL375 RC1 Low
,37,650,8,28.9,2356,52,47,CycloBlower H.E. - 125CDL375 RC1 Low
,38,650,10,35.3,2404,53,58,CycloBlower H.E. - 125CDL375 RC1 Low
,39,650,12,42.1,2451,54,69,CycloBlower H.E. - 125CDL375 RC1 Low
,40,650,15,52.8,2518,56,86,CycloBlower H.E. - 125CDL375 RC1 Low
,41,700,5,21.4,2426,54,31,CycloBlower H.E. - 125CDL375 RC1 Low
,42,700,8,30.9,2499,56,47,CycloBlower H.E. - 125CDL375 RC1 Low
,43,700,10,37.6,2546,57,58,CycloBlower H.E. - 125CDL375 RC1 Low
,44,700,12,44.7,2591,58,69,CycloBlower H.E. - 125CDL375 RC1 Low
,45,700,15,55.8,2657,59,86,CycloBlower H.E. - 125CDL375 RC1 Low
,46,242.4,5,8.4,1044,23,31,CycloBlower H.E. - 125CDL375 RC1 Low
,47,468.4,5,14.6,1742,39,31,CycloBlower H.E. - 125CDL375 RC1 Low
,48,708.5,5,21.7,2451,54,31,CycloBlower H.E. - 125CDL375 RC1 Low
,49,962.7,5,29.6,3165,70,31,CycloBlower H.E. - 125CDL375 RC1 Low
,50,1230.9,5,38.4,3879,86,31,CycloBlower H.E. - 125CDL375 RC1 Low
,51,1513.2,5,,,NA (not highlited),NA (not highlited),CycloBlower H.E. - 125CDL375 RC1 Low
RC1 (Low),52,202.4,9,13.6,1041,23,53,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,53,431.6,9,22.9,1741,39,53,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,54,674.9,9,33.1,2451,54,53,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,55,932.3,9,44.2,3166,70,53,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,56,1203.8,9,56.1,3878,86,53,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,57,1489.3,9,,,,,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL-Model Not Available
,58,173.1,12,17.9,1039,23,69,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,59,404.7,12,29.5,1741,39,69,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,60,650.5,12,42.1,2452,54,69,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,61,910.3,12,55.6,3166,70,69,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
,62,1184.2,12,69.8,3878,86,69,CycloBlower H.E. - 125CDL375 RC1 Low Compression FFL
