160CDL480B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
,71,460,5,18,955,27,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,72,460,9,27.3,1006,28,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,73,460,12,35.5,1045,29,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,74,460,15,44.8,1085,30,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,75,460,18,55.1,1126,31,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,76,460,20,62.5,1153,32,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,77,520,5,19.8,1036,29,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,78,520,9,29.7,1086,30,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,79,520,12,38.4,1125,31,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,80,520,15,48.1,1165,32,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,81,520,18,58.9,1205,33,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,82,520,20,66.6,1233,34,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,83,580,5,21.6,1116,31,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,84,580,9,32.2,1166,32,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,85,580,12,41.3,1205,33,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,86,580,15,51.5,1244,35,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,87,580,18,62.7,1285,36,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,88,580,20,70.8,1312,36,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,89,640,5,23.4,1196,33,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,90,640,9,34.6,1246,35,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,91,640,12,44.2,1284,36,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,92,640,15,54.9,1323,37,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,93,640,18,66.6,1364,38,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,94,640,20,61.6,2397,53,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,95,700,5,25.2,1275,35,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,96,700,9,37.1,1325,37,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,97,700,12,47.1,1363,38,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,98,700,15,58.3,1403,39,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,99,700,18,70.4,1443,40,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,100,700,20,65.9,2560,57,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
