160CDL480B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
,273,1141.6,18,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,274,1540.2,18,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,275,1950.3,18,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,276,2457.6,18,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,277,747,20,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,278,1134.5,20,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,279,1533.4,20,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,280,1943.8,20,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,281,2451.3,20,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
RC2 (High),282,351.6,21,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,283,737.4,21,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,284,1130.1,21,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,285,1529.8,21,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,286,1936.3,21,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,287,2433.4,21,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,288,319.5,24,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,289,705.6,24,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,290,1098.6,24,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,291,1498.6,24,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,292,1905.5,24,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,293,2402.8,24,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,294,673,27,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,295,1066.4,27,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,296,1466.6,27,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,297,1873.8,27,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,298,2371.5,27,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,299,1033.3,30,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,300,1433.8,30,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,301,1841.3,30,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
,302,2339.4,30,,,,,CycloBlower H.E. - 160CDL480 RC2 High Compression (FFL) - Model  Not Availabe
RC3 (High),303,366.8,21,57.8,1018,28,60,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,304,743,21,86.1,1524,42,60,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,305,1130.6,21,116.2,2033,56,60,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,306,1529.6,21,147.9,2543,71,60,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,307,1940.1,21,181.3,3053,85,60,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,308,2447.8,21,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,309,352.8,24,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,310,729.3,24,94.4,1526,42,68,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,311,1117.3,24,126.5,2035,57,68,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,312,1516.7,24,160.2,2545,71,68,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,313,1927.5,24,195.6,3054,85,68,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,314,2435.6,24,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,315,336.5,27,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,316,713.4,27,103.3,1528,42,76,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,317,1101.7,27,137.3,2037,57,76,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,318,1501.5,27,173.1,2546,71,76,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,319,1912.7,27,210.4,3056,85,76,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,320,2421.2,27,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,321,695.2,30,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,322,1083.8,30,148.8,2038,57,85,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,323,1483.9,30,186.5,2548,71,85,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,324,1895.5,30,225.9,3057,85,85,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,325,2404.5,30,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,326,674.6,33,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,327,1063.6,33,160.8,2039,57,93,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,328,1464.1,33,200.6,2549,71,93,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,329,1876,33,241.9,3058,85,93,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL)
,330,2385.4,33,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,331,1041.2,36,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,332,1442,36,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,333,1854.3,36,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
,334,2364.1,36,,,,,CycloBlower H.E. - 160CDL480 RC3 High Compression (FFL) - Model  Not Availabe
