250CDL750B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
RC1,1,600,5,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,2,600,9,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,3,600,12,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,4,600,15,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,5,600,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,6,675,5,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,7,675,9,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,8,675,12,72.1,514,23,69,CycloBlower HE 250CDL750RC1 Low
,9,675,15,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,10,675,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,11,750,5,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,12,750,9,54,511,23,56,CycloBlower HE 250CDL750RC1 Low
,13,750,12,75.5,540,25,69,CycloBlower HE 250CDL750RC1 Low
,14,750,15,98.7,564,26,86,CycloBlower HE 250CDL750RC1 Low
,15,750,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,16,825,5,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,17,825,9,56.7,537,24,53,CycloBlower HE 250CDL750RC1 Low
,18,825,12,78.9,566,26,69,CycloBlower HE 250CDL750RC1 Low
,19,825,15,102.9,590,27,86,CycloBlower HE 250CDL750RC1 Low
,20,825,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,21,900,5,32.2,517,24,31,CycloBlower HE 250CDL750RC1 Low
,22,900,9,59.4,563,26,53,CycloBlower HE 250CDL750RC1 Low
,23,900,12,82.4,592,27,69,CycloBlower HE 250CDL750RC1 Low
,24,900,15,107.1,616,28,86,CycloBlower HE 250CDL750RC1 Low
,25,900,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,26,975,5,33.8,543,25,31,CycloBlower HE 250CDL750RC1 Low
,27,975,9,62.1,589,27,53,CycloBlower HE 250CDL750RC1 Low
,28,975,12,85.8,618,28,69,CycloBlower HE 250CDL750RC1 Low
,29,975,15,111.3,642,29,86,CycloBlower HE 250CDL750RC1 Low
,30,975,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,31,1050,5,35.6,569,26,31,CycloBlower HE 250CDL750RC1 Low
,32,1050,9,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,33,1050,12,89.3,644,29,69,CycloBlower HE 250CDL750RC1 Low
,34,1050,15,115.6,668,30,86,CycloBlower HE 250CDL750RC1 Low
,35,1050,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,36,1125,5,37.3,596,27,31,CycloBlower HE 250CDL750RC1 Low
,37,1125,9,67.5,641,29,53,CycloBlower HE 250CDL750RC1 Low
,38,1125,12,92.8,670,30,69,CycloBlower HE 250CDL750RC1 Low
,39,1125,15,119.8,694,32,86,CycloBlower HE 250CDL750RC1 Low
,40,1125,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,41,1200,5,39,622,28,31,CycloBlower HE 250CDL750RC1 Low
,42,1200,9,70.3,668,30,53,CycloBlower HE 250CDL750RC1 Low
,43,1200,12,96.3,696,32,69,CycloBlower HE 250CDL750RC1 Low
,44,1200,15,124,720,33,86,CycloBlower HE 250CDL750RC1 Low
,45,1200,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,46,1275,5,40.7,648,29,31,CycloBlower HE 250CDL750RC1 Low
,47,1275,9,73,694,32,53,CycloBlower HE 250CDL750RC1 Low
,48,1275,12,99.8,722,33,69,CycloBlower HE 250CDL750RC1 Low
,49,1275,15,128.3,746,34,86,CycloBlower HE 250CDL750RC1 Low
,50,1275,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
,51,1350,5,42.5,674,31,31,CycloBlower HE 250CDL750RC1 Low
,52,1350,9,75.8,720,33,53,CycloBlower HE 250CDL750RC1 Low
,53,1350,12,103.3,748,34,69,CycloBlower HE 250CDL750RC1 Low
,54,1350,15,132.5,772,35,86,CycloBlower HE 250CDL750RC1 Low
,55,1350,18,,,,,CycloBlower HE 250CDL750RC1 Low - model not available
